Formula, something, somethingelse,Formula_mono_iso_wt_nat
C12H22O2,12,15,198.16198
C18H34ClN2O8PS,12,15,506.1402708
C12H22O3,12,15,214.1568946
C12H22O4,12,15,230.1518092
C12H22O5,12,15,246.1467238
C16H24N2O,12,15,262.1829332
C40H44N2O18,12,15,842.2529824
C42H84NO8P,12,15,762.5904901
C40H44N2O19,12,15,858.247897
C28H40N7O18P3S,12,15,894.115582
C42H92N10O34S5,12,15,1450.408443
C23H36N4O5,12,15,452.2567099
C42H71N6O31P,12,15,1192.372345
C27H31O16+,12,15,611.1606614
C14H15N3,12,15,228.1177022
C6H14INO2S,12,15,291.9760273
C59H86CoN13O15P-6,12,15,1319.508341
C22H26N4,12,15,350.2038864
C16H10,12,15,202.0782503
C5H12O4,12,15,136.0735589
C5H12O5,12,15,152.0684735
C12H8O2S,12,15,216.0245002
C16H14,12,15,206.1095504
C9H14N2O11P2,12,15,390.0013521
C37H30O17,12,15,746.1482995
C16H16,12,15,208.1252005
C14H21N3O9S,12,15,410.0909547
C9H8N2O2,12,15,178.0526473
C17H21NO2,12,15,272.1542638
C17H18N2S2,12,15,316.0852098
C17H21NO3,12,15,288.1491784
C17H21NO4,12,15,304.1440931
C17H21NO5,12,15,320.1390077
C9H8N2O5,12,15,226.0373912
C6H13NO8S,12,15,260.033222
C14H19BrN4O-2,12,15,342.0634606
C82H56O52,12,15,1872.173762
C20H25NO2,12,15,312.1855639
C19H23N7O6,12,15,452.1502258
C20H25NO4,12,15,344.1753932
C15H21N5O13P2,12,15,546.0462833
C43H56O17,12,15,844.3517504
C7H15N2O8P,12,15,288.0506718
C28H37NO9,12,15,532.2438667
C22H26O3,12,15,338.1881947
C26H40N7O19P3S,12,15,886.1104966
C22H26O4,12,15,354.1831093
C18H15ClN2O2S,12,15,360.0483459
C22H26O5,12,15,370.1780239
C22H26O6,12,15,386.1729386
C25H42N7O18P3S,12,15,860.1312321
C22H26O8,12,15,418.1627678
C16H15FN2O4,12,15,320.095655
C22H26O9,12,15,434.1576824
C14H22N2O16P2,12,15,538.0385255
C11H10N2O2,12,15,204.0682974
C14H19N3O6S,12,15,360.0905607
C44H55CoN4O16+,12,15,958.2820979
C21H26N8O6S2,12,15,558.1179511
C21H27N5O9S2,12,15,562.1101933
C16H24N5O8P,12,15,450.1214237
C31H53N3O19P2,12,15,836.2659542
C15H20N2O2,12,15,262.1465477
C10H15N5O13P2S,12,15,511.9714038
C25H22ClNO3,12,15,420.1258562
C20H42O7P2,12,15,456.2405767
C15H17I2N5O4,12,15,589.9221645
C32H32O16S4,12,15,800.0573177
C35H34N2O5,12,15,564.240842
C27H32N2O8,12,15,514.2099358
C33H61N5O9,12,15,676.432103
C34H32ClFeN4O4,12,15,655.1342899
C32H38N6O7S,12,15,656.2344777
C37H50O9,12,15,638.3454832
C21H24FN3O4,12,15,404.1661892
C16H16N3NaO7S2,12,15,452.0238406
C19H19ClN3NaO6S,12,15,478.0491831
C27H21NO11,12,15,536.1084954
C39H44N2O7,12,15,654.3089216
C27H21NO12,12,15,552.10341
C10H16N2O,12,15,182.1203329
C2H8O7P2,12,15,205.9745256
C14H19N3O7S,12,15,376.0854754
C18H28N2O,12,15,290.2142333
C26H32ClFO5,12,15,478.19223
C26H44N2,12,15,386.3445192
C5H4N2O4,12,15,158.0111764
C53H85NO20,12,15,1056.563529
C20H22N4O10S,12,15,514.0938032
C22H30O,12,15,310.2296656
C57H92O28,12,15,1224.577512
C11H13N3O6,12,15,286.0715398
C30H20N4O6,12,15,536.126424
C11H13NO3,12,15,208.0865782
C34H44O16,12,15,708.2629354
C11H13NO4,12,15,224.0814928
C34H44O19,12,15,756.2476792
C19H25NO2,12,15,300.1855639
C9H14N4O3,12,15,230.0947299
C9H14N4O4,12,15,246.0896445
C19H25NO3,12,15,316.1804786
C26H20N2O,12,15,378.1516331
C15H19Cl2N3O,12,15,330.0816223
C19H25NO4,12,15,332.1753932
C9H14N4O6,12,15,278.0794738
C19H25NO5,12,15,348.1703078
C38H40N4O2,12,15,588.3032661
C22H29NO2,12,15,340.2168641
C22H29NO3,12,15,356.2117787
C32H53N2O4+,12,15,531.3940544
C21H36N4O5S,12,15,460.2287806
C10H8OS3,12,15,239.9737269
C55H75N17O13,12,15,1198.522619
C23H22O5,12,15,378.1467238
C23H22O6,12,15,394.1416384
C23H22O7,12,15,410.1365531
C22H24ClFN4O3,12,15,450.1402361
C26H44O9,12,15,500.298533
C18H22O5S,12,15,350.1187945
C34H56N4O24,12,15,908.3165883
C42H38O20,12,15,862.1956437
C11H16N4O2,12,15,240.1154654
C5H7N3O5,12,15,192.029675
C48H80O18,12,15,944.5344658
C11H11N4NaO3S,12,15,306.0330952
C11H16N4O4,12,15,272.1052946
C11H16N4O5,12,15,288.1002092
C12H16N2,12,15,190.1254183
C16H24FNO,12,15,266.1812275
C5H10NO7P,12,15,228.0165231
C24H39N8O18P3S,12,15,860.1078659
C8H6N2O,12,15,148.0420826
C11H6Cl2N2,12,15,237.9848734
C7H11N,12,15,110.0861843
C16H14ClN3O,12,15,302.0736445
C12H5Cl5O,12,15,339.8783033
C36H54O,12,15,502.4174664
C41H69N7O8,12,15,794.5000065
C95H146O28,12,15,1735.000064
C40H44N4O+2,12,15,600.3385545
C12H5Cl5,12,15,323.8833887
C51H84O22,12,15,1048.545424
C5H12N2O3S,12,15,182.0509327
C51H84O23,12,15,1064.540339
C12H16O2,12,15,192.1150298
C25H32O13,12,15,540.1842911
C25H32O14,12,15,556.1792057
C12H16O3,12,15,208.1099444
C24H51NO7P+,12,15,497.3368008
C12H16O4,12,15,224.104859
C12H16O6,12,15,256.0946882
C12H16O7,12,15,272.0896029
C59H96O27,12,15,1236.613898
C59H96O29,12,15,1268.603727
C13H17NO2,12,15,220.1229637
C28H50O,12,15,402.3861662
C13H17NO3,12,15,236.1178783
C13H17NO4,12,15,252.1127929
C15H16N2O6S2,12,15,386.0390474
C9H12N2O,12,15,166.0890328
C9H12N2S,12,15,182.0661889
C19H39N5O7,12,15,454.2701231
C10H13O10P,12,15,324.0246331
C27H40O2,12,15,396.3028305
C15H12N2O2,12,15,254.0839474
C27H40O3,12,15,412.2977452
C15H18Cl3NO,12,15,334.0424322
C15H12N2O3,12,15,270.078862
C41H65NO10,12,15,732.4578822
C27H40O4,12,15,428.2926598
C27H40O6,12,15,460.282489
C18H28N6O,12,15,350.2146689
C21H41N5O7,12,15,480.2857732
C21H41N5O8,12,15,496.2806878
C19H22N2O2,12,15,312.1621977
C19H22N2O3,12,15,328.1571124
C2H5AsO5,12,15,183.9352947
C8H12ClN7O,12,15,264.05843
CH4N2O2,12,15,78.02134717
C45H75NO17,12,15,902.5005349
C42H72O14,12,15,800.492207
C28H47N5O18,12,15,746.2767842
C13H13N5O5S2,12,15,388.0209844
C4H10N2O2,12,15,120.0682974
C4H10N2O3,12,15,136.063212
C33H47N5O8S,12,15,678.2997087
C35H44N2O10,12,15,654.2936654
C11H21N,12,15,168.1644346
C33H68,12,15,464.5321022
C45H74N7O20P3S,12,15,1164.371462
C5H9NO2,12,15,116.0603634
C6H2Cl2O4,12,15,207.933014
C13H10ClN3O4S2,12,15,373.9712296
C5H9NO3,12,15,132.0552781
C5H9NO4,12,15,148.0501927
C5H9NO5,12,15,164.0451073
C16H11ClN4,12,15,298.0553637
C29H40N8O5,12,15,588.2884456
C11H14NO4P,12,15,256.0630793
C20H28N10O21P4,12,15,878.008443
C9H23NO3PS+,12,15,257.1101121
C7H14O,12,15,114.1044651
C24H14O11,12,15,478.0536113
C17H30N2O12S,12,15,488.1460149
C13H12O2,12,15,200.0837296
C13H12O3,12,15,216.0786443
C16H14F3N5O,12,15,354.1002192
C13H12O4,12,15,232.0735589
C11H22O,12,15,170.1670653
C19H25N3O8,12,15,426.1552695
C41H71NO4,12,15,642.5353447
C13H12O8,12,15,296.0532174
C27H36O15,12,15,600.2054205
C43H73O6P,12,15,716.5144766
C26H31Cl2N5O3,12,15,536.1655698
C8H13N3O4S,12,15,250.0537813
C9H12NO6P,12,15,262.0372585
C14H22N2O,12,15,236.1672831
C11H14NO6+,12,15,257.0785985
C12H25NaO4S,12,15,288.1371247
C30H27O13+,12,15,595.1446174
C14H21NO11,12,15,380.1084954
C42H72O36,12,15,1152.380329
C10H15N4O13P3,12,15,495.9729857
C36H46N16Na4O21S6,12,15,1338.046404
C6H6O2S,12,15,142.0088501
C18H21N5O5,12,15,392.1394433
CH3NO2,12,15,62.01341324
C15H18N4O5,12,15,338.1158593
C27H35N9O15P2,12,15,796.1460986
C10H12N4O4S,12,15,288.0460652
C33H50N4O6S,12,15,634.3332456
C11H14NO6P,12,15,288.0529086
C26H35NO4,12,15,426.2536435
C19H23N4O6PS,12,15,470.0957313
C23H16O5,12,15,372.0997736
C26H38O4,12,15,414.2770097
C10H18N5O20P5,12,15,687.9084951
C6H8N2O4S2,12,15,237.9866179
C33H42N4O6,12,15,594.2985747
C29H42N7O18P3S,12,15,908.1312321
C28H44N7O17P3S,12,15,882.1519675
C64H67O41+,12,15,1491.315228
C18H26N4O23P4,12,15,793.9819688
C10H12N4O5S,12,15,304.0409798
C14H14N6O3,12,15,320.0949477
C6H8N2O2S,12,15,174.024718
C20H32F2O5,12,15,390.2217805
C17H30O2,12,15,266.2245802
C11H20NO12P,12,15,390.0693465
C17H30O7,12,15,346.1991533
C22H38O4Zn,12,15,430.2061563
C10H10ClNO2,12,15,212.0370412
C20H22Cl2N2O6,12,15,458.0795617
C16H24N2O17P2,12,15,580.0490902
C8H8,12,15,104.0626003
C30H30O8,12,15,518.1940679
C33H58N7O17P3S,12,15,956.2615179
C33H52O9,12,15,592.3611333
C19H23N3,12,15,296.1803024
C64H67O42+,12,15,1507.310143
C40H44N4O16,12,15,840.263371
C16H26N2O,12,15,264.1985833
C13H21ClN4O2S,12,15,336.0955139
C6H6O4S,12,15,173.9986794
C3H2F6O,12,15,168.0009839
C27H42N7O19P3S,12,15,900.1261467
C37H65NO14,12,15,748.4375407
C26H44N7O18P3S,12,15,874.1468821
C44H52N8O10,12,15,860.3569191
C88H95Cl2N9O33,12,15,1884.514246
C18H12,12,15,228.0939004
C6H6N2O2,12,15,140.0369972
C6H6N2O3,12,15,156.0319119
C32H42O12,12,15,618.2676268
C12H11Cl2NO,12,15,256.0188043
C32H42O16,12,15,682.2472853
C40H36O11,12,15,692.225762
C8H12N2O2,12,15,170.0839474
C40H36O12,12,15,708.2206766
C12H18N4O7P2S,12,15,428.0252822
C8H12N2O3,12,15,186.078862
C32H47F5O3S,12,15,606.3166071
C8H12N2O4,12,15,202.0737767
C18H31N3O13P2,12,15,562.1243158
C17H23NO3,12,15,290.1648285
C17H23NO4,12,15,306.1597431
C9H11N2O8P,12,15,308.0193716
C82H58O52,12,15,1874.189412
C20H27NO3,12,15,330.1961286
C20H27NO5,12,15,362.1859579
C12H10Cl2F3NO,12,15,312.0061889
C27H34O3,12,15,406.250795
C43H58O18,12,15,862.3623151
C6H6O5S,12,15,189.993594
C20H27NO7,12,15,394.1757871
C30H45N6O16P,12,15,782.2451753
C27H34O9,12,15,502.2202827
C11H19N5S,12,15,258.1212908
C11H14NO9P,12,15,336.0376525
C12H10OS2,12,15,234.0173063
C50H83O4P,12,15,778.6028977
C9H9N2NaO3,12,15,218.0451566
C22H46NO7P,12,15,468.2982242
C7H5NO3,12,15,152.0239779
C7H5NO4,12,15,168.0188925
C6H8ClN3O4S2,12,15,287.9555795
C14H19N5O6S,12,15,390.0907785
C17H28N2O15P2,12,15,564.090561
C10H14N2O2,12,15,196.0995975
C10H14N2O3,12,15,212.0945121
C10H14N2O4,12,15,228.0894267
C10H14N2O5,12,15,244.0843414
C10H14N2O6,12,15,260.079256
C12H16O12,12,15,352.064176
C6H9N3O2,12,15,158.0605812
C23H50N2O5P+,12,15,467.3392554
C22H26N2O2,12,15,352.1934979
C22H26N2O3,12,15,368.1884125
C22H26N2O4,12,15,384.1833271
C14H24N2O7,12,15,334.1524209
C9H16N3O13P3,12,15,469.9807018
C8H15N3O4,12,15,220.0973607
C14H24N2O9,12,15,366.1422502
C15H12O,12,15,208.088815
C8H15N3O7,12,15,268.0821045
C26H36N2O3,12,15,426.2666628
C37H70O5,12,15,594.5223254
C28H58O,12,15,410.4487665
C28H29N2O12-,12,15,587.1666678
C13H21N3O,12,15,238.159567
C9H11ClO3,12,15,202.0396719
C20H32N8O5,12,15,472.2258453
C16H28O2,12,15,252.2089301
C66H75Cl2N9O24,12,15,1456.403514
C11H13ClN2,12,15,210.0707959
C16H28O7,12,15,332.1835033
C10H13ClN2O3S,12,15,278.0276105
C6H3Cl3,12,15,179.9300332
C31H24O10,12,15,556.136947
C3FeN3,12,15,136.9352688
C23H32N6O6S2,12,15,558.1646835
C31H24O12,12,15,588.1267762
C6H6O7S,12,15,221.9834232
C42H59N3O10,12,15,768.4111498
C57H94O27,12,15,1210.598248
C17H24N2O4S,12,15,354.1397477
C9H18O2,12,15,158.1306798
C10H17N3O5,12,15,262.1079254
C30H47N3O9S,12,15,628.2944055
C18H24O4S,12,15,336.1395299
C11H15NO2,12,15,194.1073136
C11H15NO3,12,15,210.1022282
C9H18O8,12,15,254.1001676
C34H46O18,12,15,742.2684147
C44H80NO8P,12,15,782.55919
C8H21N3,12,15,162.1646524
C11H15NO8,12,15,290.0768014
C19H27NO3,12,15,318.1961286
C19H27NO4,12,15,334.1910433
C8H18N4O2,12,15,206.1311154
C21H32N2O,12,15,330.2455334
C19H27NO6,12,15,366.1808725
C19H27NO7,12,15,382.1757871
C33H34N4O6,12,15,586.2359744
C7H10N2O,12,15,140.0733827
C4H8O8P-,12,15,214.9962273
C3H5O3S-,12,15,120.9964883
C8H4O3S2,12,15,211.9601854
C14H11ClN4O,12,15,290.0502783
C23H30ClNO3,12,15,404.1884564
C3H11N3O6PS+,12,15,251.0011734
C8H9BO3,12,15,164.0644747
C13H9NO2,12,15,212.0603634
C20H20O4,12,15,324.1361591
C13H9NO3,12,15,228.0552781
C20H20O5,12,15,340.1310738
C13H9NO4,12,15,244.0501927
C20H20O6,12,15,356.1259884
C20H20O7,12,15,372.120903
C15H14O,12,15,210.1044651
C2H5N3O2,12,15,106.0292811
C18H24O5S,12,15,352.1344446
C12H15N4O2S+,12,15,283.0791624
C48H82O18,12,15,946.5501158
C13H21N5O,12,15,268.1597848
C8H5Cl3O3,12,15,253.9304272
C27H21N3O10,12,15,550.1137986
C10H18N4S,12,15,230.1133569
C33H47NO13,12,15,666.3017755
C12H19N4O10P3S,12,15,507.9916126
C33H45NO9,12,15,600.3064669
C28H48N8O17P3S,12,15,901.1833765
C15H24N2O16P2,12,15,552.0541755
C23H28ClN3O5S,12,15,496.1349241
C22H27N9O7S2,12,15,602.1207997
C16H24N4O10P2S,12,15,530.0569763
C33H37N5O5,12,15,588.2646438
C10Cl12,12,15,539.6262325
C24H40N5O8,12,15,531.2728628
C5H12O8P2,12,15,262.0007404
C12H7Cl3,12,15,255.9613334
C17H24O2,12,15,260.17763
C24H31O8-,12,15,447.2024416
C17H24O3,12,15,276.1725446
