Formula, something, somethingelse,Formula_mono_iso_wt_nat
C20H33NO,13,15,324.3203463
C41H38N6O5S2,13,15,805.3542675
C36H54O8,13,15,650.5026429
C12H22O2,13,15,210.202238
C18H34ClN2O8PS,13,15,524.2006579
C12H22O3,13,15,226.1971526
C12H22O4,13,15,242.1920672
C12H22O5,13,15,258.1869819
C16H24N2O,13,15,278.2366106
C40H44N2O18,13,15,882.3871759
C42H84NO8P,13,15,804.7313933
C40H44N2O19,13,15,898.3820905
C28H40N7O18P3S,13,15,922.2095174
C42H92N10O34S5,13,15,1492.549346
C23H36N4O5,13,15,475.3338711
C42H71N6O31P,13,15,1234.513249
C27H31O16+,13,15,638.251242
C14H15N3,13,15,242.1646699
C6H14INO2S,13,15,297.9961563
C59H86CoN13O15P-6,13,15,1378.706276
C22H26N4,13,15,372.2776929
C16H10,13,15,218.1319277
C5H12O4,13,15,141.0903331
C5H12O5,13,15,157.0852477
C12H8O2S,13,15,228.0647582
C16H14,13,15,222.1632279
C9H14N2O11P2,13,15,399.0315457
C37H30O17,13,15,783.2724285
C16H16,13,15,224.1788779
C14H21N3O9S,13,15,424.1379224
C9H8N2O2,13,15,187.0828408
C17H21NO2,13,15,289.2112961
C17H18N2S2,13,15,333.142242
C17H21NO3,13,15,305.2062107
C17H21NO4,13,15,321.2011253
C17H21NO5,13,15,337.1960399
C9H8N2O5,13,15,235.0675847
C6H13NO8S,13,15,266.053351
C14H19BrN4O-2,13,15,356.1104283
C82H56O52,13,15,1954.448859
C20H25NO2,13,15,332.2526607
C19H23N7O6,13,15,471.2139677
C20H25NO4,13,15,364.2424899
C15H21N5O13P2,13,15,561.0966058
C43H56O17,13,15,887.4960084
C7H15N2O8P,13,15,295.0741556
C28H37NO9,13,15,560.3378021
C22H26O3,13,15,360.2620011
C26H40N7O19P3S,13,15,912.1977224
C22H26O4,13,15,376.2569158
C18H15ClN2O2S,13,15,378.108733
C22H26O5,13,15,392.2518304
C22H26O6,13,15,408.246745
C25H42N7O18P3S,13,15,885.215103
C22H26O8,13,15,440.2365742
C16H15FN2O4,13,15,336.1493324
C22H26O9,13,15,456.2314889
C14H22N2O16P2,13,15,552.0854932
C11H10N2O2,13,15,215.1052006
C14H19N3O6S,13,15,374.1375285
C44H55CoN4O16+,13,15,1002.429711
C21H26N8O6S2,13,15,579.1884027
C21H27N5O9S2,13,15,583.1806449
C16H24N5O8P,13,15,466.1751012
C31H53N3O19P2,13,15,867.3699542
C15H20N2O2,13,15,277.1968703
C10H15N5O13P2S,13,15,522.0049521
C25H22ClNO3,13,15,445.2097271
C20H42O7P2,13,15,476.3076735
C15H17I2N5O4,13,15,604.9724871
C32H32O16S4,13,15,832.1646726
C35H34N2O5,13,15,599.3582613
C27H32N2O8,13,15,541.3005164
C33H61N5O9,13,15,709.5428127
C34H32ClFeN4O4,13,15,689.2483544
C32H38N6O7S,13,15,688.3418325
C37H50O9,13,15,675.4696122
C21H24FN3O4,13,15,425.2366407
C16H16N3NaO7S2,13,15,468.077518
C19H19ClN3NaO6S,13,15,497.112925
C27H21NO11,13,15,563.199076
C39H44N2O7,13,15,693.4397602
C27H21NO12,13,15,579.1939907
C10H16N2O,13,15,192.1538813
C2H8O7P2,13,15,207.9812353
C14H19N3O7S,13,15,390.1324431
C18H28N2O,13,15,308.2746204
C26H32ClFO5,13,15,504.2794558
C26H44N2,13,15,412.431745
C5H4N2O4,13,15,163.0279506
C53H85NO20,13,15,1109.741335
C20H22N4O10S,13,15,534.1609
C22H30O,13,15,332.303472
C57H92O28,13,15,1281.768738
C11H13N3O6,13,15,297.1084431
C30H20N4O6,13,15,566.2270691
C11H13NO3,13,15,219.1234814
C34H44O16,13,15,742.3769999
C11H13NO4,13,15,235.118396
C34H44O19,13,15,790.3617437
C19H25NO2,13,15,319.2493059
C9H14N4O3,13,15,239.1249234
C9H14N4O4,13,15,255.1198381
C19H25NO3,13,15,335.2442205
C26H20N2O,13,15,404.2388588
C15H19Cl2N3O,13,15,345.1319449
C19H25NO4,13,15,351.2391351
C9H14N4O6,13,15,287.1096673
C19H25NO5,13,15,367.2340497
C38H40N4O2,13,15,626.43075
C22H29NO2,13,15,362.2906705
C22H29NO3,13,15,378.2855851
C32H53N2O4+,13,15,563.5014092
C21H36N4O5S,13,15,481.2992321
C10H8OS3,13,15,250.0072753
C55H75N17O13,13,15,1253.707135
