Formula, something, somethingelse,Formula_mono_iso_wt_nat
C11H17N3O,12,14,207.1371622
C10H12N2O5S,12,14,272.0466922
C43H70N10O27P2,12,14,1220.38871
C27H31O15+,12,14,595.1657467
C30H31N,12,14,405.24565
C18H22O11,12,14,414.1162115
C21H26O10,12,14,438.1525971
C21H26O12,12,14,470.1424263
C7H9ClO6P2S,12,14,317.9283594
C36H54O2,12,14,518.412381
C17H10O6,12,14,310.0477381
C24H26N2O16S,12,14,630.1003035
C29H38O11,12,14,562.2414121
C14H20N6O5S,12,14,384.1215885
C6H5BrO,12,14,171.9523774
C20H33NO,12,14,303.2562147
C41H38N6O5S2,12,14,758.2345097
C36H54O8,12,14,614.3818687
C12H22O2,12,14,198.16198
C18H34ClN2O8PS,12,14,504.146201
C12H22O3,12,14,214.1568946
C12H22O4,12,14,230.1518092
C12H22O5,12,14,246.1467238
C16H24N2O,12,14,260.1888634
C40H44N2O18,12,14,840.2589126
C42H84NO8P,12,14,761.5934552
C40H44N2O19,12,14,856.2538272
C28H40N7O18P3S,12,14,887.1363377
C42H92N10O34S5,12,14,1440.438094
C23H36N4O5,12,14,448.2685703
C42H71N6O31P,12,14,1186.390136
C27H31O16+,12,14,611.1606614
C14H15N3,12,14,225.1265975
C6H14INO2S,12,14,290.9789924
C59H86CoN13O15P-6,12,14,1306.546887
C22H26N4,12,14,346.2157469
C16H10,12,14,202.0782503
C5H12O4,12,14,136.0735589
C5H12O5,12,14,152.0684735
C12H8O2S,12,14,216.0245002
C16H14,12,14,206.1095504
C9H14N2O11P2,12,14,388.0072823
C37H30O17,12,14,746.1482995
C16H16,12,14,208.1252005
C14H21N3O9S,12,14,407.09985
C9H8N2O2,12,14,176.0585775
C17H21NO2,12,14,271.1572289
C17H18N2S2,12,14,314.09114
C17H21NO3,12,14,287.1521435
C17H21NO4,12,14,303.1470582
C17H21NO5,12,14,319.1419728
C9H8N2O5,12,14,224.0433214
C6H13NO8S,12,14,259.0361871
C14H19BrN4O-2,12,14,338.075321
C82H56O52,12,14,1872.173762
C20H25NO2,12,14,311.1885291
C19H23N7O6,12,14,445.1709815
C20H25NO4,12,14,343.1783583
C15H21N5O13P2,12,14,541.0611088
C43H56O17,12,14,844.3517504
C7H15N2O8P,12,14,286.056602
C28H37NO9,12,14,531.2468318
C22H26O3,12,14,338.1881947
C26H40N7O19P3S,12,14,879.1312524
C22H26O4,12,14,354.1831093
C18H15ClN2O2S,12,14,358.0542761
C22H26O5,12,14,370.1780239
C22H26O6,12,14,386.1729386
C25H42N7O18P3S,12,14,853.1519878
C22H26O8,12,14,418.1627678
C16H15FN2O4,12,14,318.1015852
C22H26O9,12,14,434.1576824
C14H22N2O16P2,12,14,536.0444557
C11H10N2O2,12,14,202.0742276
C14H19N3O6S,12,14,357.099456
C44H55CoN4O16+,12,14,954.2939584
C21H26N8O6S2,12,14,550.141672
C21H27N5O9S2,12,14,557.1250189
C16H24N5O8P,12,14,445.1362493
C31H53N3O19P2,12,14,833.2748496
C15H20N2O2,12,14,260.1524779
C10H15N5O13P2S,12,14,506.9862293
C25H22ClNO3,12,14,419.1288213
C20H42O7P2,12,14,456.2405767
C15H17I2N5O4,12,14,584.9369901
C32H32O16S4,12,14,800.0573177
C35H34N2O5,12,14,562.2467722
C27H32N2O8,12,14,512.215866
C33H61N5O9,12,14,671.4469286
C34H32ClFeN4O4,12,14,651.1461503
C32H38N6O7S,12,14,650.2522683
C37H50O9,12,14,638.3454832
C21H24FN3O4,12,14,401.1750845
C16H16N3NaO7S2,12,14,449.0327359
C19H19ClN3NaO6S,12,14,475.0580784
C27H21NO11,12,14,535.1114605
C39H44N2O7,12,14,652.3148518
C27H21NO12,12,14,551.1063751
C10H16N2O,12,14,180.1262631
C2H8O7P2,12,14,205.9745256
C14H19N3O7S,12,14,373.0943707
C18H28N2O,12,14,288.2201635
C26H32ClFO5,12,14,478.19223
C26H44N2,12,14,384.3504494
C5H4N2O4,12,14,156.0171066
C53H85NO20,12,14,1055.566494
C20H22N4O10S,12,14,510.1056636
C22H30O,12,14,310.2296656
C57H92O28,12,14,1224.577512
C11H13N3O6,12,14,283.0804352
C30H20N4O6,12,14,532.1382844
C11H13NO3,12,14,207.0895433
C34H44O16,12,14,708.2629354
C11H13NO4,12,14,223.0844579
C34H44O19,12,14,756.2476792
C19H25NO2,12,14,299.1885291
C9H14N4O3,12,14,226.1065903
C9H14N4O4,12,14,242.101505
C19H25NO3,12,14,315.1834437
C26H20N2O,12,14,376.1575633
C15H19Cl2N3O,12,14,327.0905177
C19H25NO4,12,14,331.1783583
C9H14N4O6,12,14,274.0913342
C19H25NO5,12,14,347.1732729
C38H40N4O2,12,14,584.3151265
C22H29NO2,12,14,339.2198292
C22H29NO3,12,14,355.2147438
C32H53N2O4+,12,14,529.3999846
C21H36N4O5S,12,14,456.240641
C10H8OS3,12,14,239.9737269
C55H75N17O13,12,14,1181.573026
C23H22O5,12,14,378.1467238
C23H22O6,12,14,394.1416384
C23H22O7,12,14,410.1365531
C22H24ClFN4O3,12,14,446.1520966
C26H44O9,12,14,500.298533
C18H22O5S,12,14,350.1187945
C34H56N4O24,12,14,904.3284487
C42H38O20,12,14,862.1956437
C11H16N4O2,12,14,236.1273258
C5H7N3O5,12,14,189.0385704
C48H80O18,12,14,944.5344658
C11H11N4NaO3S,12,14,302.0449556
